One Robot,Two Robots,Three Robots,Four Robots,Five Robots,Six Robots
0.0142329,0.0266302,0.0110032,0.0143516,0.0082219,0.0154344
0.0152942,0.0088017,0.0136037,0.0098585,0.0109134,0.0140075
0.0139246,0.0146314,0.013372,0.0108272,0.0113862,0.0143971
0.0153112,0.0089286,0.0087414,0.0118398,0.0154893,0.0111812
0.0158375,0.0117862,0.0102725,0.0151617,0.0133788,0.0120008
0.0060217,0.0145301,0.0119857,0.0164511,0.0140955,0.0122046
0.0144333,0.0163467,0.0142927,0.0129106,0.0152083,0.012828
0.0138317,0.0125078,0.0151949,0.0114751,0.0106017,0.0098249
0.0067628,0.0163574,0.0110219,0.0096792,0.0128955,0.0088985
0.013404,0.009067,0.0148464,0.0132633,0.0143899,0.0112416
0.009823,0.0124781,0.0129532,0.0275155,0.015857,0.0136382
0.0172355,0.011823,0.0120891,0.0118326,0.0088704,0.0131617
0.0065885,0.0096103,0.0126762,0.0132812,0.0091297,0.0101012
0.0086955,0.0098124,0.0134687,0.0116129,0.0135743,0.0314178
0.0075829,0.0136713,0.0146849,0.0119303,0.0129038,0.0105771
0.009029,0.0119898,0.014673,0.0098052,0.0124604,0.015208
0.0114421,0.013558,0.0092439,0.0103829,0.014115,0.0154871
0.0112602,0.0141731,0.0118753,0.0147577,0.0292971,0.0075567
0.0081926,0.0138978,0.0139673,0.0085355,0.0125016,0.0077238
0.0055604,0.0097254,0.0130946,0.0142312,0.0148226,0.0065104
0.0158089,0.0139334,0.0324145,0.0135302,0.0145651,0.0085033
0.011089,0.0124051,0.0129096,0.0131959,0.0102601,0.0070474
0.0262258,0.0126693,0.0141735,0.0146853,0.0156284,0.0111327
0.0048283,0.0160965,0.0161191,0.0150978,0.0118784,0.0070264
0.0122002,0.0294597,0.0158456,0.0171357,0.0158289,0.0120104
0.0101885,0.0130282,0.0133392,0.0130434,0.016321,0.0159079
0.0117734,0.0143203,0.014929,0.0141302,0.0170939,0.0096619
0.0183795,0.0128967,0.0146807,0.0151393,0.0105518,0.0143244
0.0118818,0.0153184,0.0089295,0.0167534,0.0083746,0.0150458
0.0157683,0.0160135,0.005564,0.011451,0.0120058,0.0145591
0.0126455,0.0108624,0.0104925,0.0142618,0.0156089,0.0083396
0.015342,0.0144636,0.0145515,0.0153444,0.0154245,0.0130024
0.0136381,0.0145749,0.0117905,0.0069209,0.0149817,0.0163107
0.0116377,0.0122202,0.0154657,0.0087681,0.0155129,0.0115059
0.0077563,0.0117658,0.015022,0.0308971,0.0100448,0.0128839
0.0120736,0.014747,0.0129708,0.0128259,0.014319,0.0185984
0.0144397,0.0098621,0.0127871,0.0155389,0.0078859,0.0118082
0.0160296,0.0116238,0.0093276,0.016874,0.0085228,0.028053
0.0124949,0.0084482,0.0142633,0.0097109,0.0113505,0.0090927
0.0167673,0.0147969,0.0156825,0.0127711,0.0117143,0.0073276
0.0136112,0.0144411,0.011708,0.010746,0.0310211,0.0078983
0.0155031,0.0124133,0.0065374,0.0095577,0.0142825,0.0146337
0.0160202,0.0113616,0.0059194,0.014533,0.0099095,0.0116296
0.0112213,0.0157313,0.0096372,0.0076988,0.0176399,0.0130676
0.0122684,0.0120671,0.0249856,0.0074873,0.0103338,0.0145127
0.0110568,0.0116917,0.0149657,0.0085722,0.0119209,0.0120071
0.0314311,0.0108569,0.0138382,0.0074067,0.0119645,0.0161583
0.0100867,0.0081202,0.01675,0.0106305,0.0135343,0.0129216
0.011903,0.0272837,0.0058076,0.0129039,0.0130872,0.0123369
0.0082564,0.0130529,0.0068072,0.0135485,0.0112672,0.0160732
0.0066046,0.0111669,0.0130932,0.0119532,0.0151451,0.0119607
0.0060396,0.0175431,0.0114791,0.0135707,0.0166481,0.013518
0.0070688,0.0121621,0.0144098,0.0110652,0.0156339,0.0097095
0.0120945,0.0100267,0.0062583,0.0128441,0.0166353,0.011168
0.0131093,0.0152581,0.0096623,0.0161207,0.0133434,0.0101873
0.0113727,0.0168438,0.0140676,0.0132754,0.013626,0.0136392
0.0111524,0.0137705,0.0142034,0.0089904,0.0069139,0.0113197
0.0091746,0.0124594,0.0140796,0.015181,0.0059135,0.0130037
0.014644,0.015132,0.0150869,0.021369,0.0072914,0.0142726
0.0091096,0.0130162,0.0170507,0.0152679,0.0070929,0.0130104
0.008834,0.0122918,0.0136711,0.0120818,0.0105846,0.031142
0.0045199,0.0137539,0.0120393,0.0131499,0.0084082,0.0126806
0.0088723,0.0126765,0.0138226,0.015269,0.0085687,0.0086252
0.015285,0.0158282,0.0148422,0.012223,0.0152455,0.0077956
0.0069529,0.0153923,0.0122196,0.0171465,0.0294634,0.0106023
0.0072636,0.0146432,0.0139872,0.0070804,0.0162249,0.0097544
0.008833,0.0154718,0.0146167,0.0072459,0.0144881,0.0099748
0.0070883,0.0149399,0.0164967,0.0057912,0.0152089,0.0147436
